E [keV] 	 mu/rho (tissue)    	 mu/rho (bone)      	 mu/rho (water) 
208.0  	 0.1339683909786589 	 0.12881609865320942 	 0.13521732230600808 
209.0  	 0.13374918915868725 	 0.12856689825992648 	 0.13499620705982623 
210.0  	 0.13353114084049386 	 0.12831956616943527 	 0.13477625303541688 
211.0  	 0.1333142345729714 	 0.12807407471930815 	 0.13455744874818623 
212.0  	 0.13309845907491294 	 0.12783039682493755 	 0.13433978288279183 
213.0  	 0.13288380323164922 	 0.1275885059642165 	 0.13412324428982822 
214.0  	 0.13267025609176888 	 0.12734837616270886 	 0.1339078219825932 
215.0  	 0.1324578068639193 	 0.12710998197928944 	 0.13369350513393216 
216.0  	 0.13224644491368615 	 0.12687329849223963 	 0.13348028307315948 
217.0  	 0.13203615976054878 	 0.1266383012857787 	 0.13326814528305297 
218.0  	 0.13182694107490964 	 0.1264049664370166 	 0.1330570813969208 
219.0  	 0.13161877867519517 	 0.1261732705033129 	 0.13284708119573807 
220.0  	 0.13141166252502648 	 0.12594319051002578 	 0.1326381346053512 
221.0  	 0.13120558273045774 	 0.12571470393863907 	 0.13243023169374818 
222.0  	 0.13100052953728017 	 0.12548778871525162 	 0.13222336266839319 
223.0  	 0.13079649332838925 	 0.12526242319941733 	 0.1320175178736226 
224.0  	 0.13059346462121513 	 0.12503858617332406 	 0.13181268778810282 
225.0  	 0.13039143406521253 	 0.12481625683129718 	 0.13160886302234598 
226.0  	 0.1301903924394086 	 0.12459541476961851 	 0.13140603431628287 
227.0  	 0.1299903306500094 	 0.12437603997664902 	 0.13120419253689228 
228.0  	 0.12979123972805973 	 0.12415811282324365 	 0.13100332867588343 
229.0  	 0.12959311082715846 	 0.12394161405345022 	 0.1308034338474321 
230.0  	 0.12939593522122483 	 0.12372652477548034 	 0.13060449928596682 
231.0  	 0.1291997043023166 	 0.12351282645294474 	 0.130406516344006 
232.0  	 0.129004409578497 	 0.12330050089634335 	 0.1302094764900428 
233.0  	 0.12881004267175022 	 0.12308953025480099 	 0.13001337130647728 
234.0  	 0.12861659531594397 	 0.12287989700804201 	 0.12981819248759516 
235.0  	 0.12842405935483656 	 0.12267158395859315 	 0.12962393183758997 
236.0  	 0.12823242674012955 	 0.12246457422421002 	 0.12943058126863016 
237.0  	 0.1280416895295628 	 0.12225885123051741 	 0.1292381327989675 
238.0  	 0.127851839885052 	 0.12205439870385801 	 0.12904657855108764 
239.0  	 0.12766287007086663 	 0.12185120066434095 	 0.12885591074989983 
240.0  	 0.1274747724518484 	 0.12164924141908551 	 0.12866612172096695 
